Airline,Source,Destination,Total_Stops,Price,Month,Year,Dep_hours,Dep_min,Arrival_hours,Arrival_min,Duration_hours,Duration_min
Air India,Kolkata,Banglore,1,7452,5,2019,16,45,21,5,28,20
Jet Airways,Delhi,Cochin,1,15554,5,2019,19,45,19,0,23,15
Jet Airways,Kolkata,Banglore,1,13067,5,2019,17,0,15,5,22,5
IndiGo,Kolkata,Banglore,0,6565,3,2019,15,10,17,45,2,35
SpiceJet,Mumbai,Hyderabad,0,1965,5,2019,5,45,7,15,1,30
SpiceJet,Chennai,Kolkata,0,3332,3,2019,9,30,12,5,2,35
IndiGo,Banglore,New Delhi,1,6208,3,2019,5,25,10,10,4,45
Air India,Banglore,New Delhi,1,11161,3,2019,13,50,18,40,28,50
Air India,Kolkata,Banglore,2,12224,6,2019,10,0,13,45,27,45
Jet Airways,Kolkata,Banglore,1,9663,5,2019,18,55,12,0,17,5
Jet Airways,Banglore,New Delhi,1,12284,3,2019,8,55,15,15,6,20
Air India,Delhi,Cochin,1,7480,5,2019,17,20,9,25,16,5
Jet Airways,Delhi,Cochin,1,17024,3,2019,19,15,4,25,9,10
Jet Airways,Kolkata,Banglore,1,14151,6,2019,20,25,19,10,22,45
IndiGo,Kolkata,Banglore,0,4804,6,2019,17,15,19,50,2,35
IndiGo,Delhi,Cochin,1,6069,5,2019,16,0,21,0,5,0
Vistara,Banglore,New Delhi,1,6065,3,2019,6,40,21,55,15,15
Jet Airways,Kolkata,Banglore,1,14151,5,2019,20,25,9,45,13,20
Jet Airways,Kolkata,Banglore,1,14231,3,2019,18,55,12,0,17,5
Vistara,Mumbai,Hyderabad,1,12395,3,2019,15,40,9,25,17,45
IndiGo,Delhi,Cochin,1,5636,4,2019,2,0,7,25,5,25
Air India,Delhi,Cochin,1,5232,4,2019,17,40,23,0,5,20
Jet Airways,Delhi,Cochin,1,14714,6,2019,14,0,4,25,14,25
IndiGo,Chennai,Kolkata,0,3850,5,2019,7,55,10,15,2,20
Air India,Delhi,Cochin,1,7258,5,2019,17,40,9,35,15,55
Jet Airways,Banglore,New Delhi,1,17471,3,2019,21,25,20,20,22,55
SpiceJet,Banglore,Delhi,0,4423,5,2019,21,10,0,5,2,55
IndiGo,Mumbai,Hyderabad,0,2227,6,2019,21,20,22,50,1,30
Multiple carriers,Delhi,Cochin,1,13377,6,2019,10,0,1,30,15,30
Jet Airways,Banglore,Delhi,0,8016,6,2019,8,20,11,20,3,0
Air India,Banglore,New Delhi,1,5626,3,2019,6,50,8,50,26,0
IndiGo,Banglore,New Delhi,0,6860,3,2019,16,55,19,45,2,50
IndiGo,Delhi,Cochin,1,6628,6,2019,18,35,1,30,6,55
Jet Airways,Delhi,Cochin,1,11627,6,2019,13,0,12,35,23,35
SpiceJet,Kolkata,Banglore,0,4174,6,2019,17,10,19,40,2,30
Jet Airways,Delhi,Cochin,1,14714,6,2019,18,15,4,25,10,10
Jet Airways,Kolkata,Banglore,1,14151,5,2019,9,35,21,5,11,30
Jet Airways,Delhi,Cochin,1,12898,5,2019,16,0,19,0,27,0
Jet Airways,Delhi,Cochin,1,12373,5,2019,21,50,4,25,6,35
IndiGo,Banglore,Delhi,0,3943,6,2019,10,10,13,0,2,50
Air Asia,Kolkata,Banglore,2,7870,6,2019,15,10,23,30,8,20
Jet Airways,Banglore,Delhi,0,8016,6,2019,18,55,22,0,3,5
Air India,Delhi,Cochin,2,10975,5,2019,13,5,9,25,20,20
IndiGo,Chennai,Kolkata,0,3850,5,2019,7,55,10,15,2,20
IndiGo,Kolkata,Banglore,0,4804,6,2019,20,25,23,10,2,45
Jet Airways,Delhi,Cochin,1,15554,3,2019,20,50,4,25,7,35
SpiceJet,Kolkata,Banglore,0,4465,3,2019,6,55,9,35,2,40
Jet Airways,Kolkata,Banglore,1,11841,6,2019,21,10,10,5,12,55
Multiple carriers,Delhi,Cochin,1,19332,3,2019,8,0,19,15,11,15
SpiceJet,Kolkata,Banglore,0,3841,6,2019,17,10,19,40,2,30
IndiGo,Banglore,Delhi,0,4591,4,2019,10,10,13,0,2,50
IndiGo,Kolkata,Banglore,1,5192,5,2019,15,15,20,5,4,50
Jet Airways,Delhi,Cochin,1,10577,6,2019,18,15,12,35,18,20
Jet Airways,Delhi,Cochin,2,15129,5,2019,19,30,4,25,8,55
Multiple carriers,Delhi,Cochin,1,11789,6,2019,6,0,19,0,13,0
Air India,Delhi,Cochin,1,8372,6,2019,21,0,7,40,10,40
Multiple carriers,Delhi,Cochin,1,8266,5,2019,6,0,19,15,13,15
Jet Airways,Kolkata,Banglore,1,14781,5,2019,6,30,19,50,13,20
Vistara,Banglore,Delhi,0,5613,4,2019,17,0,19,35,2,35
Jet Airways,Banglore,Delhi,0,7229,4,2019,15,15,18,10,2,55
IndiGo,Delhi,Cochin,1,6093,6,2019,8,30,21,0,12,30
Jet Airways,Delhi,Cochin,2,15544,5,2019,5,30,12,35,7,5
GoAir,Delhi,Cochin,1,6296,5,2019,7,25,13,35,6,10
IndiGo,Kolkata,Banglore,0,4804,4,2019,9,35,12,20,2,45
Air Asia,Banglore,New Delhi,0,4284,3,2019,5,50,8,40,2,50
IndiGo,Delhi,Cochin,1,6558,3,2019,7,35,22,20,14,45
IndiGo,Delhi,Cochin,1,5775,6,2019,21,50,3,35,5,45
SpiceJet,Chennai,Kolkata,0,3543,6,2019,8,20,10,35,2,15
Jet Airways,Delhi,Cochin,1,17024,3,2019,9,55,18,50,8,55
Jet Airways,Mumbai,Hyderabad,0,4050,6,2019,7,5,8,30,1,25
Air India,Mumbai,Hyderabad,2,14219,3,2019,6,0,15,15,33,15
Jet Airways,Banglore,New Delhi,1,26890,3,2019,11,40,18,25,6,45
Air India,Delhi,Cochin,2,9653,6,2019,19,45,19,15,23,30
IndiGo,Banglore,Delhi,0,3943,6,2019,6,5,8,50,2,45
Jet Airways,Kolkata,Banglore,1,10844,5,2019,14,5,16,20,26,15
Jet Airways,Kolkata,Banglore,1,8849,4,2019,21,10,4,40,7,30
IndiGo,Mumbai,Hyderabad,0,2754,6,2019,1,40,3,10,1,30
Air India,Delhi,Cochin,2,10756,3,2019,6,50,19,15,36,25
Jet Airways,Kolkata,Banglore,1,14151,5,2019,17,0,21,5,28,5
Jet Airways,Kolkata,Banglore,1,9899,6,2019,8,25,20,45,12,20
Jet Airways,Delhi,Cochin,1,12242,3,2019,22,0,4,25,6,25
Jet Airways,Delhi,Cochin,2,10368,6,2019,19,30,12,35,17,5
IndiGo,Mumbai,Hyderabad,0,5755,5,2019,9,10,10,40,1,30
Jet Airways,Delhi,Cochin,1,10262,6,2019,18,15,4,25,10,10
SpiceJet,Kolkata,Banglore,1,6643,6,2019,8,35,17,15,8,40
Multiple carriers Premium economy,Delhi,Cochin,1,9845,3,2019,7,30,21,0,13,30
Jet Airways,Kolkata,Banglore,1,11134,3,2019,18,55,12,0,17,5
SpiceJet,Delhi,Cochin,1,5583,6,2019,6,5,11,20,5,15
IndiGo,Delhi,Cochin,1,6069,5,2019,16,0,21,0,5,0
Jet Airways,Banglore,New Delhi,1,13817,3,2019,5,45,20,20,14,35
Air India,Delhi,Cochin,2,10283,3,2019,5,0,19,15,38,15
Air India,Kolkata,Banglore,1,7795,3,2019,9,50,21,5,11,15
Multiple carriers,Delhi,Cochin,1,13977,3,2019,0,20,7,40,7,20
Jet Airways,Delhi,Cochin,2,10919,6,2019,6,45,4,25,21,40
IndiGo,Kolkata,Banglore,0,6038,3,2019,20,25,23,5,2,40
IndiGo,Delhi,Cochin,0,5601,5,2019,5,35,8,50,3,15
IndiGo,Delhi,Cochin,1,12351,3,2019,7,30,21,0,13,30
Air India,Delhi,Cochin,0,6094,4,2019,5,10,8,0,2,50
Multiple carriers,Delhi,Cochin,1,7575,5,2019,10,35,19,15,8,40
Jet Airways,Delhi,Cochin,1,16079,5,2019,21,50,4,25,6,35
Jet Airways,Delhi,Cochin,1,10262,6,2019,19,15,19,0,23,45
Air Asia,Delhi,Cochin,1,13470,6,2019,16,45,22,25,5,40
Jet Airways,Banglore,Delhi,0,8016,6,2019,11,10,14,5,2,55
Jet Airways,Delhi,Cochin,1,16289,3,2019,18,15,18,50,24,35
Jet Airways,Delhi,Cochin,1,10262,6,2019,19,45,4,25,8,40
IndiGo,Banglore,Delhi,0,4823,6,2019,18,25,21,20,2,55
Vistara,Banglore,Delhi,0,5403,4,2019,9,45,12,35,2,50
Jet Airways,Delhi,Cochin,1,12373,5,2019,17,30,19,0,25,30
SpiceJet,Mumbai,Hyderabad,1,13552,3,2019,14,10,22,25,8,15
Jet Airways,Kolkata,Banglore,1,10844,5,2019,8,25,20,45,12,20
Air India,Mumbai,Hyderabad,2,22619,3,2019,9,40,23,45,14,5
Multiple carriers,Delhi,Cochin,1,8625,5,2019,10,35,19,15,8,40
IndiGo,Banglore,New Delhi,0,4777,3,2019,6,0,8,45,2,45
IndiGo,Delhi,Cochin,0,5000,6,2019,5,35,8,50,3,15
Jet Airways,Delhi,Cochin,2,21954,3,2019,19,10,19,45,24,35
Jet Airways,Delhi,Cochin,1,11627,6,2019,11,30,4,25,16,55
Jet Airways,Kolkata,Banglore,1,13731,5,2019,14,5,4,40,14,35
IndiGo,Banglore,Delhi,0,3943,4,2019,22,10,1,0,2,50
Jet Airways,Banglore,New Delhi,1,6992,3,2019,8,55,23,0,14,5
Jet Airways,Kolkata,Banglore,1,13941,5,2019,18,55,4,40,9,45
Jet Airways,Delhi,Cochin,1,14924,6,2019,8,0,19,0,11,0
Jet Airways,Delhi,Cochin,1,18371,6,2019,2,15,12,35,10,20
IndiGo,Chennai,Kolkata,0,7295,3,2019,19,35,21,55,2,20
Air India,Banglore,New Delhi,1,9292,3,2019,17,0,16,40,23,40
Jet Airways,Kolkata,Banglore,1,13941,5,2019,20,0,8,15,12,15
IndiGo,Kolkata,Banglore,1,4150,3,2019,4,15,9,50,5,35
Jet Airways,Kolkata,Banglore,1,12681,4,2019,20,0,23,35,27,35
IndiGo,Delhi,Cochin,0,5601,6,2019,5,35,8,50,3,15
Air India,Kolkata,Banglore,2,14960,5,2019,9,50,8,55,23,5
Multiple carriers,Delhi,Cochin,1,13377,6,2019,16,0,1,30,9,30
IndiGo,Mumbai,Hyderabad,0,3342,3,2019,12,0,13,25,1,25
Jet Airways,Banglore,Delhi,0,8016,6,2019,11,10,14,5,2,55
Jet Airways,Banglore,New Delhi,1,16736,3,2019,5,45,23,0,17,15
Jet Airways,Kolkata,Banglore,1,10031,3,2019,21,10,19,40,22,30
Air India,Delhi,Cochin,1,7258,4,2019,20,30,8,15,11,45
Jet Airways,Banglore,Delhi,0,4030,5,2019,6,0,8,45,2,45
Air India,Delhi,Cochin,2,13381,6,2019,14,25,19,15,28,50
Jet Airways,Delhi,Cochin,2,16704,5,2019,23,5,4,25,29,20
Multiple carriers,Delhi,Cochin,1,13587,6,2019,9,0,21,0,12,0
Jet Airways,Mumbai,Hyderabad,0,5678,5,2019,2,55,4,20,1,25
Jet Airways,Kolkata,Banglore,1,7064,4,2019,6,30,9,20,26,50
IndiGo,Mumbai,Hyderabad,0,2754,6,2019,1,40,3,10,1,30
Vistara,Banglore,Delhi,0,4668,5,2019,9,45,12,35,2,50
Air Asia,Kolkata,Banglore,0,4107,6,2019,19,55,22,25,2,30
IndiGo,Delhi,Cochin,1,5894,6,2019,4,55,21,0,16,5
Jet Airways,Delhi,Cochin,1,10262,6,2019,17,30,4,25,10,55
Jet Airways,Kolkata,Banglore,1,13941,5,2019,16,30,8,15,15,45
Air Asia,Delhi,Cochin,1,6451,4,2019,16,45,7,10,14,25
Air India,Delhi,Cochin,2,10975,6,2019,9,45,9,25,23,40
Air India,Delhi,Cochin,2,14746,3,2019,12,0,7,40,19,40
Air Asia,Delhi,Cochin,1,11410,6,2019,20,45,7,10,10,25
SpiceJet,Kolkata,Banglore,0,3841,5,2019,6,55,9,30,2,35
Air India,Delhi,Cochin,2,13381,6,2019,6,50,7,40,24,50
Multiple carriers,Delhi,Cochin,1,15078,5,2019,11,30,1,30,14,0
Air India,Kolkata,Banglore,1,8891,5,2019,9,25,18,30,9,5
Jet Airways,Kolkata,Banglore,1,7757,5,2019,14,5,10,5,20,0
Air India,Banglore,Delhi,0,4441,4,2019,5,45,8,45,3,0
Jet Airways,Kolkata,Banglore,1,10031,3,2019,19,45,18,10,22,25
IndiGo,Banglore,Delhi,0,4823,4,2019,13,0,15,50,2,50
Air India,Kolkata,Banglore,1,8576,5,2019,9,25,18,30,9,5
Jet Airways,Banglore,New Delhi,1,11087,3,2019,20,35,16,10,19,35
Jet Airways,Delhi,Cochin,1,12373,5,2019,10,0,12,35,26,35
Air India,Kolkata,Banglore,2,11432,5,2019,9,25,5,35,20,10
IndiGo,Mumbai,Hyderabad,0,3175,6,2019,16,55,18,25,1,30
IndiGo,Kolkata,Banglore,0,4804,5,2019,9,35,12,20,2,45
Jet Airways,Delhi,Cochin,2,13014,6,2019,9,40,12,35,26,55
Multiple carriers,Delhi,Cochin,1,7563,3,2019,7,10,22,20,15,10
SpiceJet,Kolkata,Banglore,0,3873,6,2019,9,0,11,25,2,25
IndiGo,Delhi,Cochin,1,6282,5,2019,11,55,0,55,13,0
Multiple carriers,Delhi,Cochin,1,11200,6,2019,8,30,19,0,10,30
Vistara,Banglore,Delhi,0,5613,4,2019,19,30,22,15,2,45
IndiGo,Delhi,Cochin,0,5601,6,2019,14,20,17,35,3,15
Jet Airways,Delhi,Cochin,1,10262,6,2019,14,0,12,35,22,35
IndiGo,Banglore,New Delhi,0,14306,3,2019,20,0,22,55,2,55
Jet Airways,Kolkata,Banglore,1,7064,4,2019,20,0,20,45,24,45
Jet Airways,Delhi,Cochin,1,18371,6,2019,7,5,19,0,11,55
Air India,Delhi,Cochin,2,13591,5,2019,20,15,19,15,23,0
Jet Airways,Delhi,Cochin,2,10368,6,2019,9,40,12,35,26,55
Multiple carriers,Delhi,Cochin,2,18275,6,2019,17,50,1,30,7,40
IndiGo,Banglore,Delhi,0,3749,5,2019,22,10,1,0,2,50
Air Asia,Kolkata,Banglore,2,6810,6,2019,15,10,23,30,8,20
Multiple carriers,Delhi,Cochin,1,7485,5,2019,11,40,21,0,9,20
Air India,Kolkata,Banglore,0,5510,5,2019,14,15,16,45,2,30
Jet Airways,Delhi,Cochin,1,10262,6,2019,18,15,4,25,10,10
Multiple carriers,Delhi,Cochin,1,6723,6,2019,7,10,16,10,9,0
Multiple carriers,Delhi,Cochin,1,8307,3,2019,8,0,15,30,7,30
GoAir,Delhi,Cochin,1,6146,4,2019,5,55,13,35,7,40
Jet Airways,Delhi,Cochin,2,15129,5,2019,13,25,12,35,23,10
Jet Airways,Kolkata,Banglore,1,14388,5,2019,6,30,12,0,5,30
Jet Airways,Banglore,Delhi,0,4544,4,2019,6,0,8,45,2,45
Jet Airways,Banglore,Delhi,0,5198,4,2019,11,10,14,5,2,55
IndiGo,Delhi,Cochin,1,7503,5,2019,9,15,1,30,16,15
GoAir,Banglore,New Delhi,1,12314,3,2019,15,45,20,15,4,30
Air India,Delhi,Cochin,1,8372,5,2019,13,0,19,15,6,15
Jet Airways,Kolkata,Banglore,1,14781,5,2019,16,30,23,35,7,5
Jet Airways,Banglore,Delhi,0,8016,6,2019,19,50,22,50,3,0
IndiGo,Chennai,Kolkata,0,6297,3,2019,7,55,10,15,2,20
Jet Airways,Kolkata,Banglore,1,14388,5,2019,8,25,9,20,24,55
GoAir,Delhi,Cochin,1,6393,6,2019,7,25,13,35,6,10
Jet Airways,Kolkata,Banglore,1,14939,6,2019,21,10,10,5,12,55
Jet Airways,Kolkata,Banglore,1,14781,5,2019,8,25,19,50,11,25
IndiGo,Delhi,Cochin,1,14871,3,2019,7,30,21,0,13,30
SpiceJet,Banglore,Delhi,0,4319,4,2019,9,30,12,20,2,50
Jet Airways,Kolkata,Banglore,1,13067,5,2019,17,0,9,45,16,45
Jet Airways,Banglore,New Delhi,1,26890,3,2019,16,55,8,15,15,20
Jet Airways,Banglore,New Delhi,1,9134,3,2019,7,0,13,15,6,15
IndiGo,Banglore,Delhi,0,3943,4,2019,21,15,0,15,3,0
Air India,Delhi,Cochin,1,8879,6,2019,7,0,19,15,12,15
Jet Airways,Kolkata,Banglore,1,14571,5,2019,18,55,12,0,17,5
IndiGo,Kolkata,Banglore,0,5644,6,2019,9,35,12,10,2,35
Jet Airways,Kolkata,Banglore,1,9663,6,2019,6,30,4,40,22,10
Jet Airways,Kolkata,Banglore,1,14571,6,2019,14,5,23,35,9,30
SpiceJet,Banglore,Delhi,0,3971,6,2019,21,10,0,5,2,55
Jet Airways,Delhi,Cochin,1,17024,3,2019,9,0,18,50,9,50
SpiceJet,Kolkata,Banglore,0,3841,5,2019,17,10,19,40,2,30
Jet Airways,Delhi,Cochin,1,12898,5,2019,19,45,19,0,23,15
Jet Airways,Delhi,Cochin,2,13376,6,2019,14,35,4,25,13,50
Jet Airways,Delhi,Cochin,2,9905,6,2019,21,25,12,35,15,10
Multiple carriers,Delhi,Cochin,1,13587,6,2019,8,0,21,0,13,0
Multiple carriers,Delhi,Cochin,1,7740,6,2019,6,0,21,0,15,0
Multiple carriers,Delhi,Cochin,1,9794,5,2019,6,0,12,35,6,35
Jet Airways,Banglore,New Delhi,1,17471,3,2019,22,50,21,20,22,30
Jet Airways,Delhi,Cochin,2,15129,3,2019,13,45,4,25,14,40
Jet Airways,Kolkata,Banglore,1,11467,5,2019,9,35,14,25,28,50
Air India,Kolkata,Banglore,1,6528,6,2019,14,35,14,35,24,0
Multiple carriers,Delhi,Cochin,1,8266,6,2019,7,30,19,15,11,45
IndiGo,Delhi,Cochin,1,6442,3,2019,6,40,22,20,15,40
Jet Airways,Delhi,Cochin,1,10262,6,2019,22,50,12,35,13,45
Jet Airways,Mumbai,Hyderabad,0,17501,3,2019,7,10,8,35,1,25
Air India,Banglore,Delhi,0,8273,5,2019,6,10,8,55,2,45
Air India,Delhi,Cochin,2,10703,3,2019,18,30,19,15,24,45
Multiple carriers,Delhi,Cochin,1,8510,6,2019,10,0,1,30,15,30
IndiGo,Mumbai,Hyderabad,0,2754,3,2019,20,5,21,35,1,30
IndiGo,Mumbai,Hyderabad,0,2227,5,2019,21,20,22,50,1,30
Multiple carriers,Delhi,Cochin,2,18275,6,2019,17,50,1,30,7,40
SpiceJet,Delhi,Cochin,1,6356,4,2019,8,45,13,15,4,30
Jet Airways,Kolkata,Banglore,1,14781,5,2019,14,5,20,45,6,40
Jet Airways,Delhi,Cochin,2,13029,5,2019,9,40,12,35,26,55
GoAir,Banglore,Delhi,0,4340,5,2019,11,40,14,30,2,50
Air India,Kolkata,Banglore,2,12224,6,2019,17,30,13,45,20,15
Jet Airways,Kolkata,Banglore,1,10844,5,2019,16,30,18,15,25,45
IndiGo,Kolkata,Banglore,0,4174,4,2019,9,35,12,20,2,45
Air India,Banglore,New Delhi,2,14887,3,2019,17,0,22,55,29,55
Multiple carriers,Delhi,Cochin,1,12853,4,2019,9,0,19,15,10,15
Air Asia,Banglore,Delhi,0,3383,5,2019,11,10,13,55,2,45
GoAir,Banglore,New Delhi,0,11111,3,2019,11,40,14,35,2,55
Jet Airways,Banglore,Delhi,0,7229,4,2019,17,45,20,45,3,0
Jet Airways,Banglore,Delhi,0,4030,5,2019,17,45,20,45,3,0
IndiGo,Delhi,Cochin,1,14871,3,2019,15,0,1,35,10,35
Jet Airways,Delhi,Cochin,1,12898,5,2019,19,45,4,25,8,40
Multiple carriers,Delhi,Cochin,1,14533,5,2019,11,30,19,15,7,45
Air India,Delhi,Cochin,1,7258,6,2019,17,40,8,15,14,35
SpiceJet,Delhi,Cochin,1,4812,4,2019,8,45,13,15,4,30
Jet Airways,Kolkata,Banglore,1,12384,5,2019,9,35,21,5,11,30
Air India,Delhi,Cochin,2,8603,6,2019,12,0,7,40,19,40
Air India,Delhi,Cochin,2,8603,6,2019,12,0,19,15,7,15
Jet Airways,Kolkata,Banglore,1,14231,3,2019,13,55,23,25,9,30
Jet Airways,Delhi,Cochin,2,15129,5,2019,23,5,4,25,29,20
Air Asia,Delhi,Cochin,1,11410,6,2019,20,45,7,10,10,25
Air India,Banglore,New Delhi,2,12725,3,2019,8,50,9,25,24,35
Jet Airways,Delhi,Cochin,2,13292,6,2019,9,35,12,35,27,0
SpiceJet,Kolkata,Banglore,0,3873,4,2019,6,55,9,30,2,35
IndiGo,Chennai,Kolkata,0,3850,6,2019,7,55,10,15,2,20
SpiceJet,Kolkata,Banglore,1,8479,6,2019,11,35,18,50,7,15
Jet Airways,Kolkata,Banglore,1,14151,5,2019,9,35,23,35,14,0
Air India,Banglore,Delhi,0,5228,4,2019,6,10,8,55,2,45
Vistara,Kolkata,Banglore,1,9397,6,2019,7,10,9,5,25,55
Jet Airways,Mumbai,Hyderabad,0,4995,6,2019,7,5,8,30,1,25
Air India,Delhi,Cochin,2,10651,6,2019,19,45,19,15,23,30
Air Asia,Banglore,Delhi,0,4282,4,2019,4,55,7,45,2,50
Air India,Kolkata,Banglore,2,10697,5,2019,8,20,21,50,13,30
Jet Airways,Kolkata,Banglore,1,9314,5,2019,9,35,14,25,28,50
IndiGo,Chennai,Kolkata,0,3540,6,2019,5,15,7,40,2,25
Air India,Delhi,Cochin,2,9443,6,2019,16,40,19,15,26,35
Multiple carriers,Delhi,Cochin,1,15147,3,2019,7,30,15,30,8,0
Jet Airways,Banglore,Delhi,0,8016,6,2019,8,20,11,20,3,0
IndiGo,Mumbai,Hyderabad,0,2437,5,2019,21,20,22,50,1,30
IndiGo,Delhi,Cochin,1,6104,5,2019,10,35,1,30,14,55
SpiceJet,Mumbai,Hyderabad,0,1965,6,2019,22,45,0,15,1,30
Multiple carriers,Delhi,Cochin,1,7408,6,2019,13,0,21,0,8,0
IndiGo,Mumbai,Hyderabad,0,4049,6,2019,6,25,7,55,1,30
Jet Airways,Banglore,Delhi,0,8016,6,2019,19,50,22,50,3,0
Multiple carriers,Delhi,Cochin,1,10197,5,2019,7,0,19,0,12,0
Jet Airways,Kolkata,Banglore,1,10844,5,2019,21,10,8,15,11,5
Jet Airways,Kolkata,Banglore,1,12692,6,2019,17,0,19,10,26,10
Jet Airways,Kolkata,Banglore,1,14781,5,2019,8,25,16,20,7,55
GoAir,Kolkata,Banglore,1,7335,5,2019,23,30,7,45,8,15
Jet Airways,Banglore,Delhi,0,7229,5,2019,8,20,11,20,3,0
Vistara,Banglore,New Delhi,0,4353,3,2019,21,10,0,5,2,55
Jet Airways,Kolkata,Banglore,1,13941,5,2019,20,0,8,15,12,15
Jet Airways,Banglore,New Delhi,1,12295,3,2019,9,45,14,25,4,40
Jet Airways,Delhi,Cochin,1,12898,5,2019,22,50,12,35,13,45
Vistara,Kolkata,Banglore,1,7927,5,2019,7,10,22,40,15,30
Air Asia,Banglore,Delhi,0,4483,4,2019,23,55,2,45,2,50
Jet Airways,Banglore,New Delhi,1,19225,3,2019,11,40,18,25,6,45
GoAir,Delhi,Cochin,1,4692,4,2019,7,25,13,35,6,10
Jet Airways,Banglore,New Delhi,1,13555,3,2019,21,25,9,30,12,5
IndiGo,Delhi,Cochin,1,6270,4,2019,15,0,1,30,10,30
Jet Airways,Kolkata,Banglore,1,13584,5,2019,18,55,16,20,21,25
Jet Airways,Delhi,Cochin,2,13180,3,2019,16,10,18,50,26,40
Jet Airways,Kolkata,Banglore,1,14151,5,2019,20,25,18,0,21,35
Vistara,Delhi,Cochin,0,6216,5,2019,6,0,9,10,3,10
Multiple carriers,Delhi,Cochin,1,15135,3,2019,7,30,18,50,11,20
Multiple carriers,Delhi,Cochin,1,15136,3,2019,11,30,21,0,9,30
Jet Airways,Delhi,Cochin,1,10262,6,2019,2,15,19,0,16,45
Jet Airways,Kolkata,Banglore,1,12384,5,2019,9,35,22,5,12,30
Jet Airways,Kolkata,Banglore,1,9314,4,2019,9,35,19,10,9,35
Jet Airways,Kolkata,Banglore,1,9314,5,2019,17,0,18,0,25,0
Air India,Delhi,Cochin,1,10454,6,2019,9,0,19,15,10,15
Air India,Delhi,Cochin,1,8372,5,2019,23,0,7,40,8,40
Jet Airways,Delhi,Cochin,1,11848,3,2019,19,45,4,25,8,40
IndiGo,Delhi,Cochin,1,6416,6,2019,8,30,21,0,12,30
IndiGo,Mumbai,Hyderabad,0,3342,4,2019,9,10,10,40,1,30
Jet Airways,Kolkata,Banglore,2,10118,6,2019,6,30,7,25,24,55
Air India,Kolkata,Banglore,2,14960,6,2019,16,45,12,30,19,45
IndiGo,Delhi,Cochin,1,6818,6,2019,5,5,16,10,11,5
Air India,Kolkata,Banglore,0,5510,6,2019,14,15,16,45,2,30
Jet Airways,Kolkata,Banglore,1,14388,5,2019,6,30,9,20,26,50
Multiple carriers,Delhi,Cochin,1,7038,6,2019,14,55,22,30,7,35
Multiple carriers,Delhi,Cochin,1,8266,5,2019,8,45,19,15,10,30
Jet Airways,Delhi,Cochin,2,14300,6,2019,18,20,19,0,24,40
Air India,Kolkata,Banglore,1,8366,5,2019,9,25,7,55,22,30
Jet Airways,Banglore,New Delhi,1,17261,3,2019,22,50,10,25,11,35
Vistara,Kolkata,Banglore,1,8452,6,2019,7,10,9,5,25,55
IndiGo,Kolkata,Banglore,1,8567,4,2019,15,10,20,30,5,20
Multiple carriers,Delhi,Cochin,1,9646,6,2019,7,5,22,30,15,25
Air India,Delhi,Cochin,2,8341,4,2019,22,0,19,15,21,15
Jet Airways,Delhi,Cochin,1,12373,5,2019,17,30,19,0,25,30
SpiceJet,Chennai,Kolkata,0,3543,6,2019,17,45,20,5,2,20
Jet Airways,Kolkata,Banglore,1,13994,6,2019,17,0,23,35,6,35
IndiGo,Banglore,New Delhi,0,4777,3,2019,4,0,6,50,2,50
Multiple carriers,Delhi,Cochin,1,7038,6,2019,14,55,22,30,7,35
IndiGo,Mumbai,Hyderabad,0,3175,4,2019,16,55,18,25,1,30
Multiple carriers,Delhi,Cochin,1,7408,6,2019,10,0,21,0,11,0
IndiGo,Banglore,Delhi,0,3943,6,2019,21,15,0,15,3,0
Jet Airways,Delhi,Cochin,1,15974,3,2019,8,0,4,25,20,25
SpiceJet,Kolkata,Banglore,0,3873,5,2019,6,55,9,30,2,35
IndiGo,Banglore,Delhi,0,4423,4,2019,10,10,13,0,2,50
Jet Airways,Delhi,Cochin,2,15129,5,2019,9,40,4,25,18,45
IndiGo,Delhi,Cochin,1,8285,3,2019,8,25,21,0,12,35
Air India,Mumbai,Hyderabad,0,3100,6,2019,6,20,7,40,1,20
Air India,Banglore,New Delhi,2,25430,3,2019,8,50,9,25,24,35
SpiceJet,Mumbai,Hyderabad,0,2385,3,2019,13,10,14,30,1,20
Jet Airways,Kolkata,Banglore,1,11316,6,2019,10,20,17,35,7,15
Jet Airways,Delhi,Cochin,1,10262,6,2019,2,15,19,0,16,45
Air India,Kolkata,Banglore,2,7662,5,2019,5,50,13,15,7,25
Jet Airways,Kolkata,Banglore,1,14231,3,2019,16,55,19,40,26,45
IndiGo,Delhi,Cochin,1,6838,6,2019,9,15,21,0,11,45
Jet Airways,Delhi,Cochin,2,13376,6,2019,6,45,4,25,21,40
Jet Airways,Delhi,Cochin,1,10262,6,2019,15,0,19,0,28,0
IndiGo,Delhi,Cochin,1,8574,3,2019,7,30,15,30,8,0
Jet Airways,Banglore,New Delhi,1,7832,3,2019,21,25,7,40,10,15
Multiple carriers,Delhi,Cochin,1,12192,6,2019,3,50,19,0,15,10
Jet Airways,Mumbai,Hyderabad,0,4050,6,2019,10,20,11,50,1,30
GoAir,Banglore,Delhi,0,6722,4,2019,7,45,10,40,2,55
Jet Airways,Kolkata,Banglore,1,10844,6,2019,20,0,16,20,20,20
Multiple carriers,Delhi,Cochin,1,7408,6,2019,7,0,21,0,14,0
